"","GEOID","ct_x","ct_y"
"146",13049,-82.1376212697,30.7817663445
"147",13233,-85.1881617872,34.0017876964
"148",17113,-88.8473186295,40.4908890474
"149",23001,-70.2064075192,44.1658801211
"150",16055,-116.701758498,47.674349035
"151",32003,-115.013571411,36.2151952484
"152",20147,-99.3470018728,39.7845841175
"153",31089,-98.7838429846,42.4557193842
"154",29101,-93.8063696023,38.7440799448
"155",55063,-91.1152184035,43.9065305885
"156",22021,-92.1166513345,32.0922568804
"157",21061,-86.2386332743,37.2088135655
"158",17005,-89.4355388447,38.8868327546
"159",17009,-90.7502787943,39.9618313821
"160",27085,-94.2724134872,44.8235404161
"161",55033,-91.8964195475,44.9465764978
"162",8027,-105.367445766,38.1086804059
"163",29123,-90.3450089282,37.4781048519
"164",48353,-100.406047813,32.3034928726
"165",42127,-75.3032528046,41.6486904606
"166",36091,-73.8638913666,43.1073861078
"167",48041,-96.3023701499,30.6607892487
"168",40095,-96.7691201823,34.0244973621
"169",24001,-78.6974717402,39.6215012148
"170",54103,-80.6391473477,39.6052302887
"171",55053,-90.8051867837,44.31912986
"172",41007,-123.716953766,46.0175202819
"173",53041,-122.392629386,46.5777692278
"174",36003,-78.0275627167,42.2574051719
"175",19031,-91.1324142906,41.7723222276
"176",18117,-86.4950719368,38.5417748144
"177",13089,-84.2264574243,33.7715884629
"178",13227,-84.4656564531,34.4643402002
"179",30015,-110.435197868,47.8805696396
"180",31017,-99.9294895195,42.4300281956
"181",47013,-84.1494070869,36.4035444715
"182",37069,-78.2857005733,36.0827989744
"183",24510,-76.6106522134,39.3009758327
"184",20111,-96.1526357084,38.4561832203
"185",19027,-94.8605781713,42.0362167833
"186",22107,-91.3400194686,32.0016958308
"187",47123,-84.2527947123,35.4426716589
"188",20075,-101.791264097,37.9991317667
"189",19151,-94.6787243132,42.7341274326
"190",16045,-116.397498361,44.0615594275
"191",5063,-91.5697092049,35.7415833833
"192",5085,-91.888677073,34.754251601
"193",18111,-87.397539644,40.9558477122
"194",13119,-83.2291916759,34.3754518104
"195",12051,-81.165902521,26.5534799868
"196",13265,-82.8787595364,33.5661159316
"197",48245,-94.1534765164,29.8537504651
