fips,pop
55111,64442
55131,136034
55013,15414
55017,64658
55025,546695
55029,27668
55031,43150
55039,103403
55053,20643
55049,23678
55091,7287
55089,89221
55097,70772
55103,17252
55105,163354
55119,20343
55137,24443
55001,20220
55007,15036
55065,16665
55081,46253
55093,42754
55141,72999
55003,15562
55015,50089
55037,4295
55055,84769
55059,169561
56005,46341
56023,19830
56019,8445
56025,79858
56021,99500
56009,13822
56027,2356
56039,23464
56037,42343
31139,7148
31165,1166
31021,6459
31025,26248
31039,8846
31051,5636
31057,1693
31075,623
31077,2356
31079,61353
31085,922
31131,16012
31145,10724
31027,8402
31045,8589
31097,5071
31033,8910
31047,23595
31071,1969
31117,494
31125,3519
31133,2613
31167,5920
31175,4158
31183,783
32001,24909
32005,48905
32015,5532
32027,6725
32009,873
32011,2029
32013,16831
32021,4505
32033,9580
32007,52778
32017,5183
32023,46523
32029,4123
32031,471519
32003,2266715
32510,55916
32019,57510
33005,76085
33013,151391
33009,89886
33015,309769
33001,61303
33019,43146
33011,417025
33017,130633
33007,31563
33003,48910
34025,618795
34021,367430
34037,140488
34011,149527
34035,328934
34013,798975
34029,607186
34001,263670
34015,291636
34023,825062
34033,62385
34031,501826
34009,92039
34007,506471
34003,932202
34039,556341
34041,105267
34017,672391
34019,124371
34005,445349
34027,491845
35023,4198
35029,23709
35031,71367
35043,146748
35055,32723
35017,26998
35009,48954
35007,11941
35015,58460
35021,625
35033,4521
35045,123958
35037,8253
56031,8393
56033,30485
56003,11790
56011,7584
56029,29194
56001,38880
56007,14800
56015,13211
56041,20226
56043,7805
56017,4413
56013,39261
56035,9831
56045,6927
72009,22108
72059,17623
72077,38155
72079,22010
72121,21712
72001,17363
72027,30504
72067,15518
72103,25761
72105,27349
72141,27395
72013,81966
72015,17238
72054,11317
72115,22918
72057,39465
72099,34891
72049,1714
72063,47093
72123,27128
72017,23727
72153,33575
72061,83728
72005,50265
72023,47515
72053,29454
72109,16211
72149,21372
72007,24814
72031,146984
72035,42409
72065,39218
72069,50653
72101,30335
72133,21209
72139,63674
72091,37287
72097,71530
72111,19249
72117,13656
72119,48025
72125,30227
72131,35528
72011,26161
72021,169269
72029,44674
72033,23121
72045,18648
72055,15383
72075,44679
72083,7927
72087,24553
72047,32293
35005,64615
35025,71070
35049,150358
35059,4059
35051,10791
35053,16637
35041,18500
35013,218195
35028,19369
35039,38921
35047,27277
35061,76688
35057,15461
35001,679121
35035,67490
35006,26675
35011,1748
35019,4300
35003,3527
36095,30999
36005,1418207
36067,460528
36035,53383
36019,80485
36099,34016
36083,158714
36079,98320
36033,50022
36043,61319
36069,109777
36081,2253858
36101,95379
36041,4416
